Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A1,11285050929722605,12/1/20,20003123,Q,1,A1,19.75,16.9,2.96,6,8.98,7.94,,,
A2,11187668848309849,12/1/20,20024565,L,3,A2,39.83,38.84,5.97,27.12,5.75,5.75,,,
A3,11163155307905802,12/1/20,20024552,D,2,A3,45.1,87.06,5.42,23.12,58.52,58.52,,,
A4,11399571047380218,12/1/20,20003118,Q,4,A4,27.99,28.65,4.2,18.08,8.98,6.37,,,
A5,11164688141254602,12/1/20,20024566,L,12,A5,25.42,25.01,3.81,14.21,6.99,6.99,,,
A6,11151834126931414,12/1/20,20024567,C,1,A6,27.25,27.81,4.09,12.42,11.3,11.3,,,
A7,11264279334377060,12/1/20,20024571,L,1,A7,21.2,20.66,3.18,11.73,5.75,5.75,,,
A8,11326830676773825,12/1/20,20003123,Q,1,A8,22.32,14.52,3.35,4.8,7.77,6.37,,,
A9,11366159442361017,12/1/20,20024569,C,1,A9,32,31.92,4.8,17.52,9.6,9.6,,,
A10,11472931905893056,12/1/20,20024576,L,6,A10,39.93,39.39,5.99,23.9,9.5,9.5,,,
A11,11213640787957800,12/1/20,20024570,L,3,A11,48.48,21.27,7.26,7.02,6.99,6.99,,,
A12,11368988724549009,12/1/20,20024555,I,1,A12,58.05,58.48,8.71,44.49,3.44,3.28,,,
A13,11112448714881050,12/1/20,20024568,L,24,A13,75.69,73.35,11.35,52.5,9.5,9.5,,,
A14,11444671010515430,12/1/20,20003123,Q,1,A14,98.49,67.68,14.77,46.54,8.98,6.37,,,
A15,11106025788706611,12/1/20,20003121,Q,1,A15,22.35,23.9,2.68,10.25,9.52,10.97,,,
A16,11246714472592241,12/1/20,20024574,L,12,A16,90.7,86.49,13.61,65.89,6.99,6.99,,,
A17,11128848400807429,12/1/20,20024575,L,1,A17,21.31,21.73,3.2,12.78,5.75,5.75,,,
A18,11281665812627437,12/1/20,20003122,Q,1,A18,49.99,39.67,7.5,24.5,8.98,7.67,,,
A19,11129146760927407,12/1/20,20024579,L,4,A19,13.55,12.87,1.08,4.8,6.99,6.99,,,
A20,11378863299726617,12/1/20,20024577,L,2,A20,32.08,32.72,4.81,20.92,6.99,6.99,,,
