Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A1,11386714267307433,1/1/21,20036086,L,6,A1,31.13,28.63,4.67,16.97,6.99,6.99,,,
A2,11421307713117020,1/1/21,20005561,O,1,A2,10.19,14.92,1.53,4.41,8.98,8.98,,,
A3,11186100614136202,1/1/21,20005562,Q,1,A3,9.5,13.13,0.76,4.14,8.81,8.23,,,
A4,11114934514028251,1/1/21,20036117,J,1,A4,359.97,367.18,21.6,332.57,13.01,13.01,,,
A5,11451016898538601,1/1/21,20005561,Q,1,A5,9.5,11.41,0.76,4.14,8.98,6.51,,,
A6,11497951978806669,1/1/21,20005561,Q,40,A6,34.48,225.2,2.76,214.8,8.98,7.64,,,
A7,11351787681837860,1/1/21,20036087,L,12,A7,56.46,55.62,6.78,41.34,7.5,7.5,,,
A8,11352781456067452,1/1/21,20036088,L,6,A8,33.29,33.8,4.99,19.31,9.5,9.5,,,
A9,11222064169937804,1/1/21,20005562,Q,3,A9,13.05,20.15,1.04,12.42,8.98,6.69,,,
A10,11289837109502623,1/1/21,20005563,P,1,A10,109,109.27,16.35,82.57,10.35,10.35,,,
A11,11118161309762611,1/1/21,20005563,O,1,A11,10.19,14.92,1.53,4.41,8.98,8.98,,,
A12,11345438239836268,1/1/21,20036093,J,1,A12,359.97,367.18,21.6,332.57,13.01,13.01,,,
A13,11293652734500253,1/1/21,20005562,Q,1,A13,94.54,68.68,14.18,46.54,8.93,7.96,,,
A14,11489450186196268,1/1/21,20036089,L,12,A14,38.07,38.23,5.71,24.53,7.99,7.99,,,
A15,11436388056822646,1/1/21,20005561,Q,3,A15,13.05,25.79,1.04,12.42,9.46,12.33,,,
A16,11165032587789027,1/1/21,20036090,L,1,A16,20.11,20.52,3.02,12.75,4.75,4.75,,,
A17,11108074650669017,1/1/21,20005562,Q,1,A17,13.77,14.15,2.07,5.7,7.77,6.38,,,
A18,11294469628770618,1/1/21,20005562,Q,2,A18,22.4,68.68,1.8,60.5,10.08,6.38,,,
A19,11437934395730642,1/1/21,20036091,L,24,A19,49.72,27.35,7.46,4.9,14.99,14.99,,,
A20,11425462221703454,1/1/21,20005560,Q,1,A20,33.99,31.41,5.1,17.09,8.98,9.22,,,
A21,11266821055225859,1/1/21,20036092,L,1,A21,8.71,8.27,0.7,2.82,4.75,4.75,,,
A22,11303024839388233,1/1/21,20036096,J,1,A22,48,48.62,3.84,35.13,9.65,9.65,,,
A23,11173858630675406,1/1/21,20036094,L,3,A23,22.71,23.17,3.41,14.01,5.75,5.75,,,
A24,11255811701277856,1/1/21,20036099,I,1,A24,16.44,16.13,1.97,9.07,3.24,3.09,,,
A25,11364770851805803,1/1/21,20036095,L,6,A25,31.91,31.94,4.79,17.65,9.5,9.5,,,
A26,11274800426863468,1/1/21,20036097,L,8,A26,32.43,32.6,4.86,18.99,8.75,8.75,,,
A27,11443672216329065,1/1/21,20005563,O,1,A27,9.28,12.65,1.39,2.28,8.98,8.98,,,
A28,11113080287046631,1/1/21,20005564,O,1,A28,10.19,14.92,1.53,4.41,8.98,8.98,,,
A29,11407575288187407,1/1/21,20036102,J,1,A29,51.49,46.92,7.72,29.19,10.01,10.01,,,
A30,11302657538818611,1/1/21,20005564,Q,1,A30,26.74,29.5,2.14,20.98,8.98,6.38,,,
A31,11269985742601861,1/1/21,20036098,L,1,A31,12.98,10,1.04,1.97,6.99,6.99,,,
A32,11105634619350638,1/1/21,20036103,J,1,A32,161.28,164.51,12.9,142.95,8.66,8.66,,,
A33,11480085458923423,1/1/21,20036101,L,6,A33,51.97,49.22,7.8,31.92,9.5,9.5,,,
A34,11300308095172271,1/1/21,20036100,L,2,A34,25.64,21.25,3.84,12.66,4.75,4.75,,,
A35,11479072755751451,1/1/21,20005564,O,1,A35,11.95,14.38,0.96,4.44,8.98,8.98,,,
A36,11105195345487456,1/1/21,20036104,L,12,A36,46.54,44.93,6.98,27.96,9.99,9.99,,,
A37,11468079135641005,1/1/21,20005564,Q,6,A37,21.84,54.54,3.28,6.42,8.98,44.84,,,
A38,11173976638953842,1/1/21,20005565,Q,2,A38,14.91,13.01,1.19,5.44,8.98,6.38,,,
A39,11423141851149031,1/1/21,20005565,Q,1,A39,33.94,28.56,5.09,17.09,8.3,6.38,,,
A40,11359160990367408,1/1/21,20036105,L,4,A40,76.78,63.82,11.52,44.8,7.5,7.5,,,
A41,11375593237663424,1/1/21,20036106,L,1,A41,11.09,9.97,1.66,3.56,4.75,4.75,,,
A42,11275456465944221,1/1/21,20005565,Q,2,A42,14.91,14.59,1.19,5.44,8.98,7.96,,,
A43,11486117683248214,1/1/21,20036107,L,12,A43,128.67,120.76,19.29,93.48,7.99,7.99,,,
A44,11197433575246604,1/1/21,20005564,Q,1,A44,94.3,85.3,14.15,64.77,8.38,6.38,,,
A45,11270789032173817,1/1/21,20005565,P,1,A45,14.95,15.04,2.24,3.82,8.98,8.98,,,
A46,11360089955838619,1/1/21,20005566,Q,3,A46,16.56,64.06,2.48,55.2,8.98,6.38,,,
A47,11331471995104260,1/1/21,20036110,L,4,A47,30.57,30.42,4.59,15.84,9.99,9.99,,,
A48,11180196550021828,1/1/21,20036108,L,12,A48,44.14,40.76,6.62,24.15,9.99,9.99,,,
A49,11391524975313865,1/1/21,20036109,L,2,A49,20.98,16.51,3.14,6.38,6.99,6.99,,,
A50,11384752633691459,1/1/21,20036111,L,12,A50,24.5,24.4,3.68,11.22,9.5,9.5,,,
A51,11366210733358662,1/1/21,20005566,Q,1,A51,9.51,12.59,0.76,4.14,8.98,7.69,,,
A52,11116087089861848,1/1/21,20036112,L,1,A52,10.02,10.58,1.5,4.33,4.75,4.75,,,
A53,11408541693987400,1/1/21,20005566,Q,5,A53,8.32,13.18,1.25,5.55,7.77,6.38,,,
A54,11215159309274618,1/1/21,20036113,K,2,A54,706.32,703.69,56.5,640.44,6.75,6.75,,,
A55,11425935916745012,1/1/21,20005566,Q,1,A55,94.49,67.55,14.17,46.54,8.98,6.84,,,
A56,11257479223888216,1/1/21,20005566,Q,4,A56,29.99,18.4,4.5,7.52,7.77,6.38,,,
A57,11387777863573828,1/1/21,20005566,Q,3,A57,15.66,23.81,2.35,13.5,8.98,7.96,,,
A58,11403398804201858,1/1/21,20005567,Q,2,A58,22.24,19.12,3.34,7.36,8.98,8.42,,,
A59,11488960660709824,1/1/21,20036114,L,1,A59,14.75,15.04,2.21,8.08,4.75,4.75,,,
A60,11170690761449042,1/1/21,20036115,L,1,A60,11.09,9.97,1.66,3.56,4.75,4.75,,,
A61,11495792868669000,1/1/21,20036116,L,1,A61,19.39,18.94,2.91,9.04,6.99,6.99,,,
A62,11381162682671449,1/1/21,20036118,K,1,A62,277.98,247.88,22.24,211.65,13.99,13.99,,,
A63,11126895758435437,1/1/21,20005567,Q,1,A63,33.89,29.81,5.08,17.09,8.98,7.64,,,
A64,11375470909553005,1/1/21,20005567,Q,1,A64,94.49,67.55,14.17,46.54,8.98,6.84,,,
A65,11128700115002661,1/1/21,20005567,Q,3,A65,15.61,27.09,2.34,12.42,9.46,12.33,,,
A66,11325853382207413,1/1/21,20036119,L,6,A66,34.72,33.53,5.21,18.33,9.99,9.99,,,
A67,11307328118826646,1/1/21,20036120,L,1,A67,22.56,23.01,3.38,13.88,5.75,5.75,,,
A68,11239198641677068,1/1/21,20036122,I,1,A68,10.66,8.87,1.6,1.99,3.16,3.28,,,
A69,11119455402719461,1/1/21,20005568,P,1,A69,7.83,12.9,0.63,3.29,8.98,8.98,,,
A70,11397658381523435,1/1/21,20036123,J,1,A70,530.69,541.31,49.46,482.26,9.59,9.59,,,
A71,11305977982331403,1/1/21,20005568,Q,24,A71,24.57,405.04,3.69,393.12,9.62,8.23,,,
A72,11391060570724233,1/1/21,20036121,L,6,A72,34.72,33.53,5.21,18.33,9.99,9.99,,,
A73,11385964028019444,1/1/21,20005569,Q,2,A73,14.91,14.86,1.19,5.44,8.98,8.23,,,
A74,11298116474125862,1/1/21,20005568,Q,1,A74,33.89,30.44,5.08,17.09,8.98,8.27,,,
A75,11275529312009064,1/1/21,20036125,L,1,A75,23.64,18.46,3.55,7.92,6.99,6.99,,,
A76,11260815043812202,1/1/21,20036124,L,6,A76,56.49,53.72,8.47,33.26,11.99,11.99,,,
A77,11127639084287442,1/1/21,20005569,Q,3,A77,25.55,33.88,3.83,13.5,11.34,16.55,,,
A78,11386902787671459,1/1/21,20005569,Q,1,A78,33.89,28.86,5.08,17.09,8.98,6.69,,,
A79,11146485390622612,1/1/21,20036126,L,12,A79,44.14,40.76,6.62,24.15,9.99,9.99,,,
A80,11401236157317002,1/1/21,20036127,L,6,A80,37.79,33.04,5.67,17.38,9.99,9.99,,,
A81,11320767427034654,1/1/21,20005569,Q,1,A81,33.89,29.81,5.08,17.09,8.98,7.64,,,
A82,11261321115818614,1/1/21,20005569,Q,1,A82,11.24,11.74,0.9,2.61,8.98,8.23,,,
A83,11338862478909850,1/1/21,20005569,Q,12,A83,80.37,100.18,12.06,35.64,20.37,52.48,,,
A84,11111993177066658,1/1/21,20036128,L,12,A84,45.29,44.92,6.79,29.38,8.75,8.75,,,
A85,11209994107747416,1/1/21,20005570,Q,1,A85,94.49,67.55,14.17,46.54,8.98,6.84,,,
A86,11180049946479467,1/1/21,20036129,L,1,A86,8.6,8.15,0.69,2.71,4.75,4.75,,,
A87,11204210936129049,1/1/21,20005570,P,1,A87,116.32,110.37,17.45,82.57,10.35,10.35,,,
A88,11213362417872247,1/1/21,20005570,Q,2,A88,22.24,17.54,3.34,7.36,8.98,6.84,,,
A89,11208709600027452,1/1/21,20005570,Q,2,A89,22.24,17.54,3.34,7.36,8.98,6.84,,,
A90,11155614406289837,1/1/21,20005570,Q,1,A90,33.89,29.81,5.08,17.09,8.98,7.64,,,
A91,11330346355618655,1/1/21,20005570,Q,1,A91,33.89,28.55,5.08,17.09,8.3,6.38,,,
A92,11105496826837812,1/1/21,20005570,Q,1,A92,33.89,28.55,5.08,17.09,8.81,6.38,,,
A93,11435111731961863,1/1/21,20005570,O,1,A93,8.18,13.92,1.23,3.71,8.98,8.98,,,
A94,11392441062224232,1/1/21,20036134,L,12,A94,36.61,37.34,5.49,21.86,9.99,9.99,,,
A95,11446917993553846,1/1/21,20005570,Q,3,A95,10.35,14.97,0.83,5.16,8.98,8.98,,,
A96,11164973331237065,1/1/21,20005571,Q,1,A96,33.89,28.55,5.08,17.09,8.3,6.38,,,
A97,11329397458741853,1/1/21,20036130,L,4,A97,42.89,44.58,6.43,31.16,6.99,6.99,,,
A98,11277700337006640,1/1/21,20005571,Q,12,A98,41.82,53.36,6.27,27.96,8.98,19.13,,,
A99,11344200293916243,1/1/21,20036133,L,12,A99,71.96,73.26,10.79,52.97,9.5,9.5,,,
A100,11122023429443452,1/1/21,20036132,L,1,A100,22.56,23.01,3.38,13.88,5.75,5.75,,,
A101,11330484431081027,1/1/21,20036131,L,12,A101,37.49,36.07,5.62,21.7,8.75,8.75,,,
A102,11470349741751413,1/1/21,20036135,L,6,A102,33.99,33.82,5.1,21.73,6.99,6.99,,,
A103,11195197203782614,1/1/21,20005572,Q,5,A103,12.58,12.84,1.01,2.85,8.98,8.98,,,
A104,11231528668884216,1/1/21,20005571,Q,1,A104,94.49,67.24,14.17,46.54,8.98,6.53,,,
A105,11458209265315454,1/1/21,20036136,L,6,A105,38.77,38.75,5.82,23.43,9.5,9.5,,,
A106,11303940515659448,1/1/21,20036138,L,6,A106,27.65,28.09,4.15,15.95,7.99,7.99,,,
A107,11493897323262631,1/1/21,20036137,K,1,A107,148.93,146.64,18.91,109.74,17.99,17.99,,,
A108,11205591835500256,1/1/21,20005572,P,1,A108,13.56,14.83,2.03,3.82,8.98,8.98,,,
A109,11128517934564200,1/1/21,20036139,L,2,A109,45.73,42.79,6.86,31.18,4.75,4.75,,,
A110,11279744429446640,1/1/21,20036140,L,1,A110,34.47,35.16,5.17,23,6.99,6.99,,,
A111,11330793554605804,1/1/21,20005572,O,1,A111,6.72,13.46,1.01,3.47,8.98,8.98,,,
A112,11307855012902669,1/1/21,20005572,Q,1,A112,9.59,11.29,0.77,4.14,8.81,6.38,,,
A113,11299807726985847,1/1/21,20005572,Q,1,A113,94.49,67.09,14.17,46.54,8.98,6.38,,,
A114,11395101602033819,1/1/21,20036141,L,1,A114,10.84,10.76,1.63,4.38,4.75,4.75,,,
A115,11176195378169813,1/1/21,20005573,Q,1,A115,33.89,31.39,5.08,17.09,8.98,9.22,,,
A116,11270115302493061,1/1/21,20005573,Q,1,A116,58.46,47.23,8.77,31.95,8.98,6.51,,,
