Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A1,11338764954314648,11/18/20,20002280,Q,1,A1,39.88,39.34,5.98,14.05,9.46,19.31,,,
A2,11344342720608237,11/14/20,20017373,L,12,A2,53.8,52.95,8.07,36.13,8.75,8.75,,,
A3,11467065560709837,11/22/20,20020503,L,12,A3,52.99,53.42,7.95,35.97,9.5,9.5,,,
A4,11362269805257808,11/24/20,20021415,L,1,A4,25.53,25.92,3.83,17.34,4.75,4.75,,,
A5,11291878462740254,11/3/20,20014610,L,12,A5,59.98,54.96,9,35.97,9.99,9.99,,,
A6,11493884893436254,11/25/20,20022126,L,1,A6,25.53,22.09,0,17.34,4.75,4.75,,,
A7,11209318448217844,11/30/20,20024073,L,1,A7,29.03,26.44,4.35,17.34,4.75,4.75,,,
A8,11333124406273055,11/20/20,20019730,L,1,A8,15.61,10.15,2.34,3.06,4.75,4.75,,,
A9,11463937553728249,11/21/20,20019836,L,3,A9,26.47,26.26,3.97,15.3,6.99,6.99,,,
A10,11358732831783454,11/26/20,20022228,L,1,A10,25.53,22.09,0,17.34,4.75,4.75,,,
A11,11267829061310659,11/28/20,20023409,L,3,A11,27.31,25.57,3.28,15.3,6.99,6.99,,,
A12,11266999236237849,11/28/20,20023019,L,2,A12,19.61,18.89,2.94,10.2,5.75,5.75,,,
A13,11377398695123436,11/25/20,20021707,L,1,A13,15.61,10.15,2.34,3.06,4.75,4.75,,,
A14,11251458440117814,11/26/20,20022426,L,1,A14,28.81,26.41,4.32,17.34,4.75,4.75,,,
A15,11240016786025010,11/26/20,20022001,L,1,A15,25.53,25.92,3.83,17.34,4.75,4.75,,,
A16,11485013053769063,11/7/20,20015733,L,6,A16,16.31,21.62,2.45,12.18,6.99,6.99,,,
A17,11495599591849019,11/21/20,20020027,L,2,A17,117.36,115.11,17.6,91.76,5.75,5.75,,,
A18,11215859779244212,11/30/20,20024215,L,12,A18,71.26,73.58,10.69,48.9,13.99,13.99,,,
A19,11489801230057855,11/29/20,20023798,L,3,A19,26.59,26.28,3.99,15.3,6.99,6.99,,,
A20,11296806057496224,11/20/20,20019564,L,12,A20,53.8,52.95,8.07,36.13,8.75,8.75,,,
A21,11300123100197812,11/30/20,20003670,Q,1,A21,19.75,15.33,2.96,6,8.98,6.37,,,
A22,11154831122141842,11/18/20,20002310,N,12,A22,111.49,98.92,16.72,82.2,0,0,,,
A23,11157085781278638,11/6/20,20015592,L,12,A23,59.98,54.96,9,35.97,9.99,9.99,,,
A24,11440756993944209,11/23/20,20020762,L,12,A24,52.65,42.96,7.9,25.07,9.99,9.99,,,
A25,11101135856212237,11/7/20,20015834,L,6,A25,16.31,21.62,2.45,12.18,6.99,6.99,,,
A26,11140793875305000,11/27/20,20022733,L,1,A26,25.53,25.92,3.83,17.34,4.75,4.75,,,
A27,11188507821652267,11/16/20,20002170,Q,1,A27,39.87,26.38,5.98,14.05,8.98,6.35,,,
A28,11331096866786651,11/21/20,20002452,Q,2,A28,79.76,48.87,11.96,28.1,8.98,8.81,,,
A29,11362385626031440,11/24/20,20021588,L,1,A29,25.53,25.92,3.83,17.34,4.75,4.75,,,
A30,11355868868328254,11/10/20,20016942,L,3,A30,25.76,26.15,3.86,15.3,6.99,6.99,,,
A31,11269519892202627,11/10/20,20016803,L,1,A31,12.86,12.8,1.93,6.12,4.75,4.75,,,
A32,11113663920444205,11/30/20,20024213,L,1,A32,29.38,29.56,4.41,20.4,4.75,4.75,,,
A33,11387723053597054,11/8/20,20016136,L,6,A33,16.31,21.62,2.45,12.18,6.99,6.99,,,
A34,11103084636213046,11/28/20,20023363,L,2,A34,19.61,18.89,2.94,10.2,5.75,5.75,,,
A35,11253718891788257,11/29/20,20023897,L,1,A35,12.77,10.75,1.92,4.08,4.75,4.75,,,
A36,11415366802663419,11/6/20,20015635,L,6,A36,16.31,21.62,2.45,12.18,6.99,6.99,,,
A37,11146337879091422,11/30/20,20023981,L,4,A37,39.22,33.27,5.88,20.4,6.99,6.99,,,
A38,11317392413716247,11/30/20,20024444,L,2,A38,19.61,18.89,2.94,10.2,5.75,5.75,,,
A39,11308661611815457,11/30/20,20023987,L,5,A39,37.82,38.16,5.67,25.5,6.99,6.99,,,
A40,11295648294659414,11/30/20,20003093,O,5,A40,93.55,66.04,14.05,35.85,16.14,16.14,,,
A41,11441627207990640,11/22/20,20020593,L,3,A41,25.76,26.15,3.86,15.3,6.99,6.99,,,
A42,11322969683227419,11/30/20,20003098,Q,1,A42,49.99,38.37,7.5,24.5,8.51,6.37,,,
A43,11343459698813820,11/2/20,20014500,L,12,A43,42.05,41.35,6.31,27.54,7.5,7.5,,,
A44,11124957838768234,11/30/20,20003058,O,1,A44,6.51,10.72,0.98,0.76,8.98,8.98,,,
A45,11164686727985801,11/9/20,20016641,L,12,A45,43.07,41.5,6.46,27.54,7.5,7.5,,,
A46,11320895360824243,11/30/20,20003113,Q,1,A46,19.75,15.33,2.96,6,8.98,6.37,,,
A47,11213734247906657,11/30/20,20003115,Q,3,A47,24.98,17.48,3.75,6.06,9.73,7.67,,,
A48,11178735296507421,11/30/20,20003109,Q,12,A48,28.29,18.05,4.24,7.44,8.98,6.37,,,
A49,11171103294884232,11/30/20,20003119,Q,1,A49,14.46,13.23,2.17,4.69,8.98,6.37,,,
A50,11372804574780268,11/9/20,20001915,N,6,A50,16.31,14.63,2.45,12.18,0,0,,,
A51,11474089093201044,11/7/20,20015725,L,6,A51,16.31,21.62,2.45,12.18,6.99,6.99,,,
A52,11131482682158656,11/28/20,20023416,L,12,A52,24.85,24.15,3.73,13.43,6.99,6.99,,,
A53,11173587416797807,11/26/20,20021869,L,12,A53,22.15,22.48,3.32,12.17,6.99,6.99,,,
A54,11433994678861861,11/28/20,20023245,L,2,A54,19.61,18.89,2.94,10.2,5.75,5.75,,,
A55,11252584941158629,11/5/20,20015333,L,6,A55,16.3,21.62,2.45,12.18,6.99,6.99,,,
A56,11463049390497823,11/15/20,20017908,L,12,A56,41.36,41.73,6.2,27.54,7.99,7.99,,,
A57,11200102210140278,11/30/20,20024361,L,12,A57,24.85,24.15,3.73,13.43,6.99,6.99,,,
A58,11326269244080202,11/29/20,20023508,L,12,A58,24.85,24.15,3.73,13.43,6.99,6.99,,,
