Vendor,Sales in Previous month,Sales in Current month,Numbers of SKUs in Previous month,Numbers of SKUs in Current month,Overlapped SKUs,New SKUs,Churn rate,Growth rate,Overall rate
A,12482.29,41282.02,49,232,2,230,0.96,4.69,3.73
B,0.1,677.29,1,14,0,14,1.0,14.0,13.0
C,22540.9,15024.5,323,350,5,345,0.98,1.07,0.08
D,24434.73,21060.89,445,318,4,314,0.99,0.71,-0.29
E,0.0,509.33,0,16,0,16,0.0,0.0,0.0
F,83.23,2893.64,3,53,0,53,1.0,17.67,16.67
G,203197.67,127062.46,692,387,2,385,1.0,0.56,-0.44
H,4553.29,3285.48,147,103,1,102,0.99,0.69,-0.3
I,20237.73,27092.05,322,420,2,418,0.99,1.3,0.3
J,284197.46,178109.48,820,555,19,536,0.98,0.65,-0.32
K,62941.28,66136.15,105,106,1,105,0.99,1.0,0.01
L,268896.84,311052.0,7315,8810,2924,5886,0.6,0.8,0.2
M,0.0,4158.56,0,117,0,117,0.0,0.0,0.0
